id,field,selected,scheduled,sbid,observed,processed,quality,casda
1,RACS-1.05_0153-51A,1,1,7437,1,,,
10,RACS-1.05_0236-38B,1,1,7437,1,,,
11,RACS-1.05_0307-38A,1,1,7437,1,,,
12,RACS-1.05_0307-38B,1,1,7437,1,,,
13,RACS-1.05_0339-38A,1,1,7437,1,,,
14,RACS-1.05_0339-38B,1,1,7437,1,,,
15,RACS-1.05_0213-44A,1,1,7437,1,,,
16,RACS-1.05_0213-44B,1,1,7437,1,,,
17,RACS-1.05_0247-44A,1,1,7437,1,,,
18,RACS-1.05_0247-44B,1,1,7437,1,,,
19,RACS-1.05_0320-44A,1,1,7437,1,,,
2,RACS-1.05_0153-51B,1,1,7437,1,,,
20,RACS-1.05_0320-44B,1,1,7437,1,,,
3,RACS-1.05_0231-51A,1,1,7437,1,,,
4,RACS-1.05_0231-51B,1,1,7437,1,,,
5,RACS-1.05_0309-51A,1,1,7437,1,,,
6,RACS-1.05_0309-51B,1,1,7437,1,,,
7,RACS-1.05_0205-38A,1,1,7437,1,,,
8,RACS-1.05_0205-38B,1,1,7437,1,,,
9,RACS-1.05_0236-38A,1,1,7437,1,,,
