id,field,selected,scheduled,sbid,observed,processed,quality,casda
1,RACS_test2_1.05_2030-68A,1,1,8277,1,,,
10,RACS_test2_1.05_2007-56B,1,1,8277,1,,,
11,RACS_test2_1.05_2049-56A,1,1,8277,1,,,
12,RACS_test2_1.05_2049-56B,1,1,8277,1,,,
13,RACS_test2_1.05_2131-56A,1,1,8277,1,,,
14,RACS_test2_1.05_2131-56B,1,1,8277,1,,,
15,RACS_test2_1.05_2018-50A,1,1,8277,1,,,
16,RACS_test2_1.05_2018-50B,1,1,8277,1,,,
17,RACS_test2_1.05_2055-50A,1,1,8277,1,,,
18,RACS_test2_1.05_2055-50B,1,1,8277,1,,,
19,RACS_test2_1.05_2132-50A,1,1,8277,1,,,
2,RACS_test2_1.05_2030-68B,1,1,8277,1,,,
20,RACS_test2_1.05_2132-50B,1,1,8277,1,,,
21,RACS_test2_1.05_2005-43A,1,1,8277,1,,,
22,RACS_test2_1.05_2005-43B,1,1,8277,1,,,
23,RACS_test2_1.05_2039-43A,1,1,8277,1,,,
24,RACS_test2_1.05_2039-43B,1,1,8277,1,,,
25,RACS_test2_1.05_2112-43A,1,1,8277,1,,,
26,RACS_test2_1.05_2112-43B,1,1,8277,1,,,
27,RACS_test2_1.05_2146-43A,1,1,8277,1,,,
28,RACS_test2_1.05_2146-43B,1,1,8277,1,,,
29,RACS_test2_1.05_2025-37A,1,1,8277,1,,,
3,RACS_test2_1.05_2130-68A,1,1,8277,1,,,
30,RACS_test2_1.05_2025-37B,1,1,8277,1,,,
31,RACS_test2_1.05_2056-37A,1,1,8277,1,,,
32,RACS_test2_1.05_2056-37B,1,1,8277,1,,,
33,RACS_test2_1.05_2126-37A,1,1,8277,1,,,
34,RACS_test2_1.05_2126-37B,1,1,8277,1,,,
35,RACS_test2_1.05_2157-37A,1,1,8277,1,,,
36,RACS_test2_1.05_2157-37B,1,1,8277,1,,,
37,RACS_test2_1.05_2014-31A,1,1,8277,1,,,
38,RACS_test2_1.05_2014-31B,1,1,8277,1,,,
39,RACS_test2_1.05_2042-31A,1,1,8277,1,,,
4,RACS_test2_1.05_2130-68B,1,1,8277,1,,,
40,RACS_test2_1.05_2042-31B,1,1,8277,1,,,
41,RACS_test2_1.05_2110-31A,1,1,8277,1,,,
42,RACS_test2_1.05_2110-31B,1,1,8277,1,,,
43,RACS_test2_1.05_2138-31A,1,1,8277,1,,,
44,RACS_test2_1.05_2138-31B,1,1,8277,1,,,
5,RACS_test2_1.05_2041-62A,1,1,8277,1,,,
6,RACS_test2_1.05_2041-62B,1,1,8277,1,,,
7,RACS_test2_1.05_2131-62A,1,1,8277,1,,,
8,RACS_test2_1.05_2131-62B,1,1,8277,1,,,
9,RACS_test2_1.05_2007-56A,1,1,8277,1,,,
