id,field,selected,scheduled,sbid,observed,processed,quality,casda
1,RACS_test3_0.9_2046-69A,1,1,8306,1,,,
10,RACS_test3_0.9_2006-59B,1,1,8306,1,,,
11,RACS_test3_0.9_2045-59A,1,1,8306,1,,,
12,RACS_test3_0.9_2045-59B,1,1,8306,1,,,
13,RACS_test3_0.9_2124-59A,1,1,8306,1,,,
14,RACS_test3_0.9_2124-59B,1,1,8306,1,,,
15,RACS_test3_0.9_2017-53A,1,1,8306,1,,,
16,RACS_test3_0.9_2017-53B,1,1,8306,1,,,
17,RACS_test3_0.9_2051-53A,1,1,8306,1,,,
18,RACS_test3_0.9_2051-53B,1,1,8306,1,,,
19,RACS_test3_0.9_2125-53A,1,1,8306,1,,,
2,RACS_test3_0.9_2046-69B,1,1,8306,1,,,
20,RACS_test3_0.9_2125-53B,1,1,8306,1,,,
21,RACS_test3_0.9_2025-48A,1,1,8306,1,,,
22,RACS_test3_0.9_2025-48B,1,1,8306,1,,,
23,RACS_test3_0.9_2056-48A,1,1,8306,1,,,
24,RACS_test3_0.9_2056-48B,1,1,8306,1,,,
25,RACS_test3_0.9_2126-48A,1,1,8306,1,,,
26,RACS_test3_0.9_2126-48B,1,1,8306,1,,,
27,RACS_test3_0.9_2157-48A,1,1,8306,1,,,
28,RACS_test3_0.9_2157-48B,1,1,8306,1,,,
29,RACS_test3_0.9_2014-43A,1,1,8306,1,,,
3,RACS_test3_0.9_2141-69A,1,1,8306,1,,,
30,RACS_test3_0.9_2014-43B,1,1,8306,1,,,
31,RACS_test3_0.9_2042-43A,1,1,8306,1,,,
32,RACS_test3_0.9_2042-43B,1,1,8306,1,,,
33,RACS_test3_0.9_2110-43A,1,1,8306,1,,,
34,RACS_test3_0.9_2110-43B,1,1,8306,1,,,
35,RACS_test3_0.9_2138-43A,1,1,8306,1,,,
36,RACS_test3_0.9_2138-43B,1,1,8306,1,,,
37,RACS_test3_0.9_2004-37A,1,1,8306,1,,,
38,RACS_test3_0.9_2004-37B,1,1,8306,1,,,
39,RACS_test3_0.9_2030-37A,1,1,8306,1,,,
4,RACS_test3_0.9_2141-69B,1,1,8306,1,,,
40,RACS_test3_0.9_2030-37B,1,1,8306,1,,,
41,RACS_test3_0.9_2056-37A,1,1,8306,1,,,
42,RACS_test3_0.9_2056-37B,1,1,8306,1,,,
43,RACS_test3_0.9_2122-37A,1,1,8306,1,,,
44,RACS_test3_0.9_2122-37B,1,1,8306,1,,,
45,RACS_test3_0.9_2149-37A,1,1,8306,1,,,
46,RACS_test3_0.9_2149-37B,1,1,8306,1,,,
47,RACS_test3_0.9_2004-32A,1,1,8306,1,,,
48,RACS_test3_0.9_2004-32B,1,1,8306,1,,,
49,RACS_test3_0.9_2028-32A,1,1,8306,1,,,
5,RACS_test3_0.9_2037-64A,1,1,8306,1,,,
50,RACS_test3_0.9_2028-32B,1,1,8306,1,,,
51,RACS_test3_0.9_2053-32A,1,1,8306,1,,,
52,RACS_test3_0.9_2053-32B,1,1,8306,1,,,
53,RACS_test3_0.9_2118-32A,1,1,8306,1,,,
54,RACS_test3_0.9_2118-32B,1,1,8306,1,,,
55,RACS_test3_0.9_2143-32A,1,1,8306,1,,,
56,RACS_test3_0.9_2143-32B,1,1,8306,1,,,
6,RACS_test3_0.9_2037-64B,1,1,8306,1,,,
7,RACS_test3_0.9_2122-64A,1,1,8306,1,,,
8,RACS_test3_0.9_2122-64B,1,1,8306,1,,,
9,RACS_test3_0.9_2006-59A,1,1,8306,1,,,
